Județ,Nume Unități,Latitude,Longitude,Tip
Neamț,"Seminarul Teologic Ortodox"" Veniamin Costachi"" Mănăstirea Neamț , județul Neamț",472.612.621,262.149.239,Seminarul Teologic Ortodox
Neamț,"Școala Gimnazială Nr. 8 Piatra Neamț, din mun. Piatra Neamț, județul Neamț",469.409.299,263.815.535,Școală Gimnazială
Neamț,"Școala Profesională, Comuna Valea Ursului din județul Neamț",467.995.364,270.784.798,Școală Profesională
Neamț,"Liceul ""Vasile Conta"" Târgu Neamț, Neamț",472.042.781,263.620.924,Liceul
Neamț,"Clubul Copiilor Târgu Neamț, Neamț",472.082.535,263.683.444,Clubul Copiilor
Neamț,"Școala Gimnazială ""I. Gervescu"" Săvinești, judeţul Neamț",4.685.813,264.684.345,Școală Gimnazială
Neamț,"Școala Gimnazială Comuna Grumăzești, Comuna Grumăzești, județul Neamț",471.398.434,263.782.893,Școală Gimnazială
Neamț,"Școala Gimnazială nr.3 Piatra Neamț, județul Neamț",468.872.236,264.162.366,Școală Gimnazială
Neamț,"Școala de Artă""Sergiu Celibidache"" Roman, localitatea Roman, județul Neamț",469.233.196,269.408.599,Școala de Artă
Olt,"Centrul Școlar pentru Educație Incluzivă Balș, localitatea Balș județul Olt",443.504.248,241.023.946,Centrul Școlar pentru Educație Incluzivă
Olt,"Școala Gimnazială ""Ștefan Protopopescu"" Slatina, județul Olt",4.442.647.789.999.990,243.657.526,Școală Gimnazială
Olt,"Liceul Teoretic ""Nicolae Titulescu"", din mun. Slatina, județul Olt",444.265.284,24.369.572,Liceul Teoretic
Olt,"Liceul Teoretic ""Mihai Viteazul"", Caracal Județul Olt",441.152.065,243.455.428,Liceul Teoretic
Olt,"Școala Gimnazială Vulturești, din localitatea Vulturești, județul Olt",447.203.127,243.134.015,Școală Gimnazială
Prahova,"Școală Gimnazială, Comuna Bătrâni, Județul Prahova",4.531.458.019.999.990,261.472.137,Școală Gimnazială
Salaj,"Școala Gimnazială Nr 1 IP, IP, județul Sălaj",472.281.705,2.260.632,Școală Gimnazială
Salaj,"Grădinița "" Prichindel"" Jibou, Judetul Salaj",472.599.029,232.587.938,Grădinița
Saru Mare,"Liceul Tehnologic de Industrie Alimentara ""George Emil Palade"" Satu Mare, Județul Satu Mare",47.788.006,22.857.783,Liceu Tehnologic de Industrie Alimentara
Satu Mare,"Școala Gimnazială Sauca, localitatea Sauca, județul Satu Mare",47.467.341,224.916.729,Școală Gimnazială
Satu Mare,"Liceul Tehnologic ""Simion Bărnuțiu"", localitatea Carei, județul Satu Mare",476.846.037,224.607.559,Liceu Tehnologic
Satu Mare,"Școala Gimnazială Botiz, localitate Botiz, județul Satu Mare",47.900.496,229.485.103,Școală Gimnazială
Satu Mare,"Liceul Tehnologic ""Iuliu Maniu"" Carei, localitatea Carei, județul Satu Mare",4.768.863.140.000.000,224.670.605,Liceu Tehnologic
Satu Mare,"Școala Gimnazială "" Vasile Lucaciu"" Carei, localitatea Carei, județul Satu Mare",476.859.421,224.707.559,Școală Gimnazială
Satu Mare,"Școala Gimnazială ""Mihai Viteazul""Moftinu Mic, din localitatea Moftinu Mic, județul Satu Mare",476.861.326,225.999.837,Școală Gimnazială
Satu Mare,"Liceul Tehnologic ""Unio-Traian Vuia"" Satu Mare, județul Satu Mare",477.752.814,228.813.535,Liceu Tehnologic
Satu Mare,"Școala Gimnazială Tășnad, din localitatea Tășnad, județul Satu Mare",474.744.758,225.859.165,Școală Gimnazială
Satu Mare,"Liceul Tehnologic de Industrie Alimentară ""George Emil Palade"" Satu Mare, Județul Satu Mare",47.788.006,22.857.783,Liceu Tehnologic de Industrie Alimentară
Satu Mare,"Liceul cu program sportiv Satu Mare, Județul Satu Mare",477.960.884,228.885.166,Liceul cu program sportiv
Satu Mare,"Școala Gimnazială ""Grigore Moisil"", județul Satu Mare",477.949.156,228.784.259,Școală Gimnazială
Sibiu,Școala Gimnazială Poplaca județul Sibiu,457.280.541,24.050.205,Școală Gimnazială
Sibiu,"Liceul Tehnologic ""Avram Iancu"", localitatea Sibiu, județul Sibiu",457.910.619,241.519.139,Liceu Tehnologic
